seed_index,seed_base,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
17,20430701,2.5,800,800,1.0,0.6584371321143851,0.24731382187380918,,-0.4178862337089712,-1.3970972148972916,100.0,1.0,0.8,1.2,0.03279704845009971,True,57,117
17,20430701,3.0,800,800,1.0,0.38003167758271816,0.4334614250277113,,-0.9675006676763444,-0.8359524716627778,100.0,1.0,0.8,1.2,0.11526959689827332,True,48,90
18,20440701,0.5,800,800,1.0,0.2995537351421509,0.18176793686763454,,-1.20546146135234,-1.7050244776573666,100.0,1.0,0.8,1.2,0.017671180395281677,True,55,105
18,20440701,1.0,800,800,1.0,0.8857847472404802,1.241641016258868,,-0.12128130683244029,0.21643390490348355,100.0,1.0,0.8,1.2,0.8415202192318179,True,35,67
18,20440701,1.5,800,800,1.0,0.5517063355217505,0.174852262552181,,-0.5947393751341065,-1.743813875595472,100.0,1.0,0.8,1.2,0.02349261909195896,True,72,139
18,20440701,2.0,800,800,1.0,0.8498025713308058,0.153447036698198,,-0.16275122549898335,-1.8743998092908774,100.0,1.0,0.8,1.2,0.01683734988178595,True,76,146
18,20440701,2.5,800,800,1.0,0.8656050320960305,0.7363522157812958,,-0.14432655748718926,-0.30604672067305805,100.0,1.0,0.8,1.2,0.2728360250176076,True,48,94
18,20440701,3.0,800,800,1.0,0.9737901990249087,0.20139779520891826,,-0.026559399953615958,-1.6024732460817372,100.0,1.0,0.8,1.2,0.03249723911939445,True,66,125
19,20450701,0.5,800,800,1.0,0.5829029649794291,0.20824863198092716,,-0.5397345473430737,-1.569022567075959,100.0,1.0,0.8,1.2,0.055952451237545685,True,34,66
19,20450701,1.0,800,800,1.0,0.5892576906033494,0.15559817990970887,,-0.5288916857392307,-1.860478364544634,100.0,1.0,0.8,1.2,0.023386440793745876,True,65,121
19,20450701,1.5,800,800,1.0,0.24162695947713236,0.2922536329094573,,-1.4203602319070838,-1.2301332478793094,100.0,1.0,0.8,1.2,0.09009406615769197,True,49,95
19,20450701,2.0,800,800,1.0,0.8638186118997175,0.22614393958066986,,-0.14639247214943607,-1.4865835816456643,100.0,1.0,0.8,1.2,0.04076377618334234,True,58,114
19,20450701,2.5,800,800,1.0,0.5501693397962047,0.22238358106229947,,-0.5975291576056314,-1.5033515454897202,100.0,1.0,0.8,1.2,0.019335043895322326,True,32,65
19,20450701,3.0,800,800,1.0,0.8002530482087917,0.7762503871844674,,-0.22282729106876403,-0.2532801469462092,100.0,1.0,0.8,1.2,0.31875763495961856,True,45,84
