maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
1.5,800,800,1.0,0.21501212614314777,0.3363748398844398,,-1.5370608517791284,-1.0895291459383323,100.0,1.0,0.8,1.2,0.06914644013620475,True,57,117
2.0,200,200,1.0,0.8003863012293184,1.1035415153878698,,-0.22266079132491937,0.09852456756372763,100.0,1.0,0.8,1.2,0.8623573110832522,True,62,121
2.0,400,400,1.0,1.471706052907139,0.16656365476312993,,0.38642230804699906,-1.7923777317341565,100.0,1.0,0.8,1.2,0.054422617454134445,True,89,167
2.0,600,600,1.0,1.6719304078811865,0.14719478120643992,,0.513978891715657,-1.915998527076459,100.0,1.0,0.8,1.2,0.05088715823367442,True,82,161
2.0,800,800,1.0,0.646941444819438,0.12694123757018097,,-0.43549949117431197,-2.064030995898296,100.0,1.0,0.8,1.2,0.020565353231585603,True,61,119
2.5,200,200,1.0,0.7757899064031997,0.24740962281823858,,-0.2538735346265185,-1.3967099239910095,100.0,1.0,0.8,1.2,0.08215918638899111,True,65,126
2.5,400,400,1.0,1.0968901763974994,0.21053297331370277,,0.09247906360828492,-1.5581129953064659,100.0,1.0,0.8,1.2,0.045944997087333996,True,70,134
2.5,600,600,1.0,1.1841003345410506,0.15075416478466094,,0.16898327488243492,-1.8921048166608685,100.0,1.0,0.8,1.2,0.04638495966616024,True,73,146
2.5,800,800,1.0,0.6073932084191636,0.17875021254973086,,-0.49857890783049263,-1.7217659083193235,100.0,1.0,0.8,1.2,0.027866122753178665,True,59,119
3.0,200,200,1.0,0.9795641386905547,1.3305905360228674,,-0.02064756268920887,0.28562285573675084,100.0,1.0,0.8,1.2,1.7549354700537132,True,52,103
3.0,400,400,1.0,1.6175410409238917,0.14263220024425305,,0.480907120130621,-1.9474859883283004,100.0,1.0,0.8,1.2,0.07866962408420913,True,85,166
3.0,600,600,1.0,1.7518231367438308,0.12969232070815442,,0.5606570380713429,-2.042590397522443,100.0,1.0,0.8,1.2,0.06626173572781754,True,78,148
3.0,800,800,1.0,0.3409624511154279,0.3261503261901199,,-1.0759829217926185,-1.1203968806175215,100.0,1.0,0.8,1.2,0.11411399317566101,True,73,136
