maturity,n_int,n_bd,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,optimization_time_sec,final_fit_time_sec,pricing_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
1.5,600,600,200,200,200,20260712,20260713,0.00992107999243973,0.02294731535241823,0.00024065837995076582,10.374591208004858,0.03788970899768174,0.0006166249513626099,10.413097541953903,True,Optimization terminated successfully.,102,203,0.018282958013829988
1.5,800,800,268,266,266,20260712,20260713,0.009222404007019928,0.014765252141337726,0.0003889152156039564,13.666740999964532,0.09082712495001033,0.0006893329555168748,13.758257457870059,True,Optimization terminated successfully.,57,117,0.06914644013620475
2.0,200,200,68,66,66,20260812,20260813,0.14415027814798997,0.28789586287346847,0.0034933065498951392,0.5952817920478992,0.0028961249627172947,0.00023075001081451774,0.598408667021431,True,Optimization terminated successfully.,62,121,0.8623573110832522
2.0,400,400,134,133,133,20260812,20260813,0.14206648991006815,0.20051642638141232,0.004636337911519897,3.588316249952186,0.01633591699646786,0.00036820804234594107,3.6050203749909997,True,Optimization terminated successfully.,89,167,0.054422617454134445
2.0,600,600,200,200,200,20260812,20260813,0.08499607325781666,0.13068985702707892,0.002929820631703659,8.451589000003878,0.043410042009782046,0.0005368329584598541,8.49553587497212,True,Optimization terminated successfully.,82,161,0.05088715823367442
2.0,800,800,268,266,266,20260812,20260813,0.041891184168172294,0.05886852854835034,0.0009924568382335978,13.83297066699015,0.09143574995687231,0.000787957978900522,13.925194374925923,True,Optimization terminated successfully.,61,119,0.020565353231585603
2.5,200,200,68,66,66,20260912,20260913,0.06570587623109596,0.15222331833386615,0.0013353689132993554,0.622602374991402,0.003295874979812652,0.0003035419504158199,0.6262017919216305,True,Optimization terminated successfully.,65,126,0.08215918638899111
2.5,400,400,134,133,133,20260912,20260913,0.02556978510976133,0.06970798458480854,0.0006304711594254431,2.8845775419613346,0.015804958005901426,0.00038654101081192493,2.900769040978048,True,Optimization terminated successfully.,70,134,0.045944997087333996
2.5,600,600,200,200,200,20260912,20260913,0.015677631187682048,0.03495801049351144,0.0004186235060884538,7.647757541039027,0.04408254200825468,0.0005148749914951622,7.692354958038777,True,Optimization terminated successfully.,73,146,0.04638495966616024
2.5,800,800,268,266,266,20260912,20260913,0.017168637685017113,0.04394668909529287,0.0003643045901148983,13.868509624968283,0.0955820000381209,0.000821291992906481,13.96491291699931,True,Optimization terminated successfully.,59,119,0.027866122753178665
3.0,200,200,68,66,66,20261012,20261013,0.07370258571003295,0.22318035186109952,0.0010553854431654007,0.5241327920230106,0.003015582973603159,0.00022966699907556176,0.5273780419956893,True,Optimization terminated successfully.,52,103,1.7549354700537132
3.0,400,400,134,133,133,20261012,20261013,0.05195175892683426,0.09135022583896557,0.0008571796258402745,3.5977609580149874,0.016222292033489794,0.00037870899541303515,3.6143619590438902,True,Optimization terminated successfully.,85,166,0.07866962408420913
3.0,600,600,200,200,200,20261012,20261013,0.050719393603960536,0.0890570906683763,0.0010112850980261406,6.950271333975252,0.02945750002982095,0.0004713329835794866,6.980200166988652,True,Optimization terminated successfully.,78,148,0.06626173572781754
3.0,800,800,268,266,266,20261012,20261013,0.022611101864506856,0.09128291105540143,0.0006271093483706017,11.666210082999896,0.06200937501853332,0.0006926250061951578,11.728912083024625,True,Optimization terminated successfully.,73,136,0.11411399317566101
